director_name,actor_1_name,actor_2_name,language,country,genres,movie_title,combined,Combined1
Nora Ephron,Michael Rapaport,Michael Moore,English,France,Comedy Crime,lucky numbers,Nora Ephron Michael Rapaport Michael Moore Comedy Crime lucky numbers,lucky numbers English Comedy Crime
Stuart Beattie,Caitlin Stasey,Kevin Grevioux,English,Australia,Action Fantasy Sci-Fi Thriller,"i, frankenstein","Stuart Beattie Caitlin Stasey Kevin Grevioux Action Fantasy Sci-Fi Thriller i, frankenstein","i, frankenstein English Action Fantasy Sci-Fi Thriller"
Roman Polanski,Ian McNeice,Barney Clark,English,UK,Crime Drama,oliver twist,Roman Polanski Ian McNeice Barney Clark Crime Drama oliver twist,oliver twist English Crime Drama
Rob Bowman,Jennifer Garner,Cary-Hiroyuki Tagawa,English,Canada,Action Crime Fantasy Thriller,elektra,Rob Bowman Jennifer Garner Cary-Hiroyuki Tagawa Action Crime Fantasy Thriller elektra,elektra English Action Crime Fantasy Thriller
Frank Miller,Joseph Gordon-Levitt,Bruce Willis,English,USA,Action Crime Thriller,sin city: a dame to kill for,Frank Miller Joseph Gordon-Levitt Bruce Willis Action Crime Thriller sin city: a dame to kill for,sin city: a dame to kill for English Action Crime Thriller
Sydney Pollack,Harrison Ford,Kristin Scott Thomas,English,USA,Drama Mystery Romance,random hearts,Sydney Pollack Harrison Ford Kristin Scott Thomas Drama Mystery Romance random hearts,random hearts English Drama Mystery Romance
Baltasar Kormákur,Michael Kelly,Martin Henderson,English,UK,Adventure Biography Drama History Sport Thriller,everest,Baltasar Kormákur Michael Kelly Martin Henderson Adventure Biography Drama History Sport Thriller everest,everest English Adventure Biography Drama History Sport Thriller
Tom Tykwer,Michael Smiley,David Calder,English,Germany,Crime Drama Fantasy,perfume: the story of a murderer,Tom Tykwer Michael Smiley David Calder Crime Drama Fantasy perfume: the story of a murderer,perfume: the story of a murderer English Crime Drama Fantasy
Jay Roach,Verne Troyer,Josh Zuckerman,English,USA,Action Comedy Crime,austin powers in goldmember,Jay Roach Verne Troyer Josh Zuckerman Action Comedy Crime austin powers in goldmember,austin powers in goldmember English Action Comedy Crime
David Bowers,Nicolas Cage,Charlize Theron,English,Hong Kong,Action Animation Comedy Family Sci-Fi,astro boy,David Bowers Nicolas Cage Charlize Theron Action Animation Comedy Family Sci-Fi astro boy,astro boy English Action Animation Comedy Family Sci-Fi
Steven Spielberg,Wayne Knight,Ariana Richards,English,USA,Adventure Sci-Fi Thriller,jurassic park,Steven Spielberg Wayne Knight Ariana Richards Adventure Sci-Fi Thriller jurassic park,jurassic park English Adventure Sci-Fi Thriller
Lawrence Kasdan,Dennis Quaid,Catherine O'Hara,English,USA,Adventure Biography Crime Drama Western,wyatt earp,Lawrence Kasdan Dennis Quaid Catherine O'Hara Adventure Biography Crime Drama Western wyatt earp,wyatt earp English Adventure Biography Crime Drama Western
Phillip Noyce,Harrison Ford,Dean Jones,English,USA,Action Crime Drama Thriller,clear and present danger,Phillip Noyce Harrison Ford Dean Jones Action Crime Drama Thriller clear and present danger,clear and present danger English Action Crime Drama Thriller
Daniel Lee,Si Won Choi,Peng Lin,Mandarin,China,Action Adventure Drama History,dragon blade,Daniel Lee Si Won Choi Peng Lin Action Adventure Drama History dragon blade,dragon blade Mandarin Action Adventure Drama History
Keenen Ivory Wayans,Chazz Palminteri,Brittany Daniel,English,USA,Comedy Crime,littleman,Keenen Ivory Wayans Chazz Palminteri Brittany Daniel Comedy Crime littleman,littleman English Comedy Crime
Jonathan Mostow,Matthew McConaughey,Thomas Kretschmann,English,France,Action War,u-571,Jonathan Mostow Matthew McConaughey Thomas Kretschmann Action War u-571,u-571 English Action War
Rob Reiner,Shawna Waldron,Samantha Mathis,English,USA,Comedy Drama Romance,the american president,Rob Reiner Shawna Waldron Samantha Mathis Comedy Drama Romance the american president,the american president English Comedy Drama Romance
Marco Schnabel,Justin Timberlake,Romany Malco,English,USA,Comedy Romance Sport,the love guru,Marco Schnabel Justin Timberlake Romany Malco Comedy Romance Sport the love guru,the love guru English Comedy Romance Sport
Demian Lichtenstein,Jon Lovitz,Bokeem Woodbine,English,USA,Action Comedy Crime Thriller,3000 miles to graceland,Demian Lichtenstein Jon Lovitz Bokeem Woodbine Action Comedy Crime Thriller 3000 miles to graceland,3000 miles to graceland English Action Comedy Crime Thriller
Quentin Tarantino,Craig Stark,Jennifer Jason Leigh,English,USA,Crime Drama Mystery Thriller Western,the hateful eight,Quentin Tarantino Craig Stark Jennifer Jason Leigh Crime Drama Mystery Thriller Western the hateful eight,the hateful eight English Crime Drama Mystery Thriller Western
Josh Gordon,Will Ferrell,Amy Poehler,English,USA,Comedy Sport,blades of glory,Josh Gordon Will Ferrell Amy Poehler Comedy Sport blades of glory,blades of glory English Comedy Sport
Tim Hill,Gary Cole,Elizabeth Perkins,English,USA,Adventure Animation Comedy Family Fantasy,hop,Tim Hill Gary Cole Elizabeth Perkins Adventure Animation Comedy Family Fantasy hop,hop English Adventure Animation Comedy Family Fantasy
Zack Snyder,Gerard Butler,Michael Fassbender,English,USA,Action Drama Fantasy War,300,Zack Snyder Gerard Butler Michael Fassbender Action Drama Fantasy War 300,300 English Action Drama Fantasy War
Jay Roach,Robert De Niro,Blythe Danner,English,USA,Comedy Romance,meet the fockers,Jay Roach Robert De Niro Blythe Danner Comedy Romance meet the fockers,meet the fockers English Comedy Romance
David Frankel,Eric Dane,Kathleen Turner,English,USA,Comedy Drama Family,marley & me,David Frankel Eric Dane Kathleen Turner Comedy Drama Family marley & me,marley & me English Comedy Drama Family
Frank Darabont,Tom Hanks,Jeffrey DeMunn,English,USA,Crime Drama Fantasy Mystery,the green mile,Frank Darabont Tom Hanks Jeffrey DeMunn Crime Drama Fantasy Mystery the green mile,the green mile English Crime Drama Fantasy Mystery
Walt Becker,Jill Hennessy,Tichina Arnold,English,USA,Action Adventure Comedy,wild hogs,Walt Becker Jill Hennessy Tichina Arnold Action Adventure Comedy wild hogs,wild hogs English Action Adventure Comedy
Mark Dindal,Catherine O'Hara,Fred Willard,English,USA,Adventure Animation Comedy Family Sci-Fi,chicken little,Mark Dindal Catherine O'Hara Fred Willard Adventure Animation Comedy Family Sci-Fi chicken little,chicken little English Adventure Animation Comedy Family Sci-Fi
David Fincher,Patrick Fugit,Sela Ward,English,USA,Crime Drama Mystery Thriller,gone girl,David Fincher Patrick Fugit Sela Ward Crime Drama Mystery Thriller gone girl,gone girl English Crime Drama Mystery Thriller
Doug Liman,Matt Damon,Josh Hamilton,English,USA,Action Mystery Thriller,the bourne identity,Doug Liman Matt Damon Josh Hamilton Action Mystery Thriller the bourne identity,the bourne identity English Action Mystery Thriller
Martin Campbell,Izabella Scorupco,Joe Don Baker,English,UK,Action Adventure Thriller,goldeneye,Martin Campbell Izabella Scorupco Joe Don Baker Action Adventure Thriller goldeneye,goldeneye English Action Adventure Thriller
Simon West,Daniel von Bargen,Timothy Hutton,English,USA,Drama Mystery Thriller,the general's daughter,Simon West Daniel von Bargen Timothy Hutton Drama Mystery Thriller the general's daughter,the general's daughter English Drama Mystery Thriller
Peter Weir,Natascha McElhone,Noah Emmerich,English,USA,Comedy Drama Sci-Fi,the truman show,Peter Weir Natascha McElhone Noah Emmerich Comedy Drama Sci-Fi the truman show,the truman show English Comedy Drama Sci-Fi
Brenda Chapman,Martin Short,Aria Noelle Curzon,English,USA,Adventure Animation Biography Drama Family Fantasy Musical,the prince of egypt,Brenda Chapman Martin Short Aria Noelle Curzon Adventure Animation Biography Drama Family Fantasy Musical the prince of egypt,the prince of egypt English Adventure Animation Biography Drama Family Fantasy Musical
Steve Carr,Anjelica Huston,Lisa Edelstein,English,USA,Comedy Family,daddy day care,Steve Carr Anjelica Huston Lisa Edelstein Comedy Family daddy day care,daddy day care English Comedy Family
Baltasar Kormákur,Denzel Washington,Patrick Fischler,English,USA,Action Comedy Crime Drama Thriller,2 guns,Baltasar Kormákur Denzel Washington Patrick Fischler Action Comedy Crime Drama Thriller 2 guns,2 guns English Action Comedy Crime Drama Thriller
Lawrence Guterman,Carol Ann Susi,Elizabeth Perkins,English,USA,Action Comedy Family Fantasy,cats & dogs,Lawrence Guterman Carol Ann Susi Elizabeth Perkins Action Comedy Family Fantasy cats & dogs,cats & dogs English Action Comedy Family Fantasy
F. Gary Gray,Jason Statham,Charlize Theron,English,USA,Action Crime Thriller,the italian job,F. Gary Gray Jason Statham Charlize Theron Action Crime Thriller the italian job,the italian job English Action Crime Thriller
Marc Lawrence,Dorian Missick,Alicia Witt,English,USA,Comedy Romance,two weeks notice,Marc Lawrence Dorian Missick Alicia Witt Comedy Romance two weeks notice,two weeks notice English Comedy Romance
Eric Darnell,Sylvester Stallone,Woody Allen,English,USA,Adventure Animation Comedy Family,antz,Eric Darnell Sylvester Stallone Woody Allen Adventure Animation Comedy Family antz,antz English Adventure Animation Comedy Family
Peter Billingsley,Jon Favreau,Kristin Davis,English,USA,Comedy,couples retreat,Peter Billingsley Jon Favreau Kristin Davis Comedy couples retreat,couples retreat English Comedy
Tony Scott,Tom Cruise,Robert Duvall,English,USA,Action Drama Sport,days of thunder,Tony Scott Tom Cruise Robert Duvall Action Drama Sport days of thunder,days of thunder English Action Drama Sport
Adam Shankman,Taylor Lautner,Tom Welling,English,USA,Adventure Comedy Family,cheaper by the dozen 2,Adam Shankman Taylor Lautner Tom Welling Adventure Comedy Family cheaper by the dozen 2,cheaper by the dozen 2 English Adventure Comedy Family
Wes Ball,Ki Hong Lee,Lili Taylor,English,USA,Action Sci-Fi Thriller,the scorch trials,Wes Ball Ki Hong Lee Lili Taylor Action Sci-Fi Thriller the scorch trials,the scorch trials English Action Sci-Fi Thriller
Ryan Murphy,James Franco,Julia Roberts,English,USA,Drama Romance,eat pray love,Ryan Murphy James Franco Julia Roberts Drama Romance eat pray love,eat pray love English Drama Romance
Brett Ratner,Nicolas Cage,Don Cheadle,English,USA,Comedy Drama Fantasy Romance,the family man,Brett Ratner Nicolas Cage Don Cheadle Comedy Drama Fantasy Romance the family man,the family man English Comedy Drama Fantasy Romance
Robert Schwentke,Bruce Willis,Morgan Freeman,English,USA,Action Comedy Crime Thriller,red,Robert Schwentke Bruce Willis Morgan Freeman Action Comedy Crime Thriller red,red English Action Comedy Crime Thriller
Oliver Stone,Al Pacino,Dennis Quaid,English,USA,Drama Sport,any given sunday,Oliver Stone Al Pacino Dennis Quaid Drama Sport any given sunday,any given sunday English Drama Sport
Robert Redford,Scarlett Johansson,Kristin Scott Thomas,English,USA,Drama Romance Western,the horse whisperer,Robert Redford Scarlett Johansson Kristin Scott Thomas Drama Romance Western the horse whisperer,the horse whisperer English Drama Romance Western
Michael Mann,Tom Cruise,Jada Pinkett Smith,English,USA,Crime Drama Thriller,collateral,Michael Mann Tom Cruise Jada Pinkett Smith Crime Drama Thriller collateral,collateral English Crime Drama Thriller
Chuck Russell,Dwayne Johnson,Roger Rees,English,USA,Action Adventure Fantasy Thriller,the scorpion king,Chuck Russell Dwayne Johnson Roger Rees Action Adventure Fantasy Thriller the scorpion king,the scorpion king English Action Adventure Fantasy Thriller
Jay Russell,Billy Burke,Jay Hernandez,English,USA,Action Drama Thriller,ladder 49,Jay Russell Billy Burke Jay Hernandez Action Drama Thriller ladder 49,ladder 49 English Action Drama Thriller
Renny Harlin,LL Cool J,Michael Rapaport,English,USA,Action Sci-Fi Thriller,deep blue sea,Renny Harlin LL Cool J Michael Rapaport Action Sci-Fi Thriller deep blue sea,deep blue sea English Action Sci-Fi Thriller
Kenny Ortega,Misha Gabriel Hamilton,Mekia Cox,English,USA,Documentary Music,this is it,Kenny Ortega Misha Gabriel Hamilton Mekia Cox Documentary Music this is it,this is it English Documentary Music
Steven Soderbergh,Matt Damon,Monique Gabriela Curnen,English,USA,Drama Thriller,contagion,Steven Soderbergh Matt Damon Monique Gabriela Curnen Drama Thriller contagion,contagion English Drama Thriller
David McNally,Estella Warren,Dyan Cannon,English,USA,Action Adventure Comedy Crime,kangaroo jack,David McNally Estella Warren Dyan Cannon Action Adventure Comedy Crime kangaroo jack,kangaroo jack English Action Adventure Comedy Crime
Henry Selick,Jennifer Saunders,Dawn French,English,USA,Animation Family Fantasy,coraline,Henry Selick Jennifer Saunders Dawn French Animation Family Fantasy coraline,coraline English Animation Family Fantasy
M. Night Shyamalan,Zooey Deschanel,Alan Ruck,English,USA,Sci-Fi Thriller,the happening,M. Night Shyamalan Zooey Deschanel Alan Ruck Sci-Fi Thriller the happening,the happening English Sci-Fi Thriller
Tony Scott,Denzel Washington,Radha Mitchell,English,USA,Action Crime Drama Thriller,man on fire,Tony Scott Denzel Washington Radha Mitchell Action Crime Drama Thriller man on fire,man on fire English Action Crime Drama Thriller
Brian Robbins,Robert Downey Jr.,Joel David Moore,English,USA,Comedy Family Fantasy,the shaggy dog,Brian Robbins Robert Downey Jr. Joel David Moore Comedy Family Fantasy the shaggy dog,the shaggy dog English Comedy Family Fantasy
Todd Phillips,Snoop Dogg,Carmen Electra,English,USA,Comedy Crime,starsky & hutch,Todd Phillips Snoop Dogg Carmen Electra Comedy Crime starsky & hutch,starsky & hutch English Comedy Crime
Brian Levant,Jim Belushi,Harvey Korman,English,USA,Comedy Family,jingle all the way,Brian Levant Jim Belushi Harvey Korman Comedy Family jingle all the way,jingle all the way English Comedy Family
Guillermo del Toro,James Babson,Rupert Evans,English,USA,Action Fantasy Horror Sci-Fi,hellboy,Guillermo del Toro James Babson Rupert Evans Action Fantasy Horror Sci-Fi hellboy,hellboy English Action Fantasy Horror Sci-Fi
Steven Zaillian,Robert Duvall,Kathleen Quinlan,English,USA,Drama,a civil action,Steven Zaillian Robert Duvall Kathleen Quinlan Drama a civil action,a civil action English Drama
Chris Butler,Anna Kendrick,Kodi Smit-McPhee,English,USA,Adventure Animation Comedy Family Fantasy,paranorman,Chris Butler Anna Kendrick Kodi Smit-McPhee Adventure Animation Comedy Family Fantasy paranorman,paranorman English Adventure Animation Comedy Family Fantasy
Michael Caton-Jones,J.K. Simmons,Bruce Willis,English,USA,Action Adventure Crime Thriller,the jackal,Michael Caton-Jones J.K. Simmons Bruce Willis Action Adventure Crime Thriller the jackal,the jackal English Action Adventure Crime Thriller
John Woo,Ivana Milicevic,Joe Morton,English,USA,Action Mystery Sci-Fi Thriller,paycheck,John Woo Ivana Milicevic Joe Morton Action Mystery Sci-Fi Thriller paycheck,paycheck English Action Mystery Sci-Fi Thriller
Jon Avnet,Joe Mantegna,Stockard Channing,English,USA,Drama Romance,up close & personal,Jon Avnet Joe Mantegna Stockard Channing Drama Romance up close & personal,up close & personal English Drama Romance
Sam Fell,Emma Watson,Matthew Broderick,English,UK,Adventure Animation Comedy Family Fantasy,the tale of despereaux,Sam Fell Emma Watson Matthew Broderick Adventure Animation Comedy Family Fantasy the tale of despereaux,the tale of despereaux English Adventure Animation Comedy Family Fantasy
unknown,Bianca Kajlich,Oliver Hudson,English,USA,Comedy Romance,rules of engagement            ,unknown Bianca Kajlich Oliver Hudson Comedy Romance rules of engagement            ,rules of engagement             English Comedy Romance
Kevin Donovan,Romany Malco,Debi Mazar,English,USA,Action Comedy Sci-Fi,the tuxedo,Kevin Donovan Romany Malco Debi Mazar Action Comedy Sci-Fi the tuxedo,the tuxedo English Action Comedy Sci-Fi
Geoff Murphy,Peter Greene,Brenda Bakke,English,USA,Action Thriller,under siege 2: dark territory,Geoff Murphy Peter Greene Brenda Bakke Action Thriller under siege 2: dark territory,under siege 2: dark territory English Action Thriller
Kenneth Branagh,Colm Feore,Nonso Anozie,English,USA,Action Drama Thriller,jack ryan: shadow recruit,Kenneth Branagh Colm Feore Nonso Anozie Action Drama Thriller jack ryan: shadow recruit,jack ryan: shadow recruit English Action Drama Thriller
David O. Russell,Jennifer Lawrence,Robert De Niro,English,USA,Biography Comedy Drama,joy,David O. Russell Jennifer Lawrence Robert De Niro Biography Comedy Drama joy,joy English Biography Comedy Drama
Babak Najafi,Gerard Butler,Radha Mitchell,English,UK,Action Crime Drama Thriller,london has fallen,Babak Najafi Gerard Butler Radha Mitchell Action Crime Drama Thriller london has fallen,london has fallen English Action Crime Drama Thriller
Jean-Pierre Jeunet,Gary Dourdan,Michael Wincott,English,USA,Action Horror Sci-Fi,alien: resurrection,Jean-Pierre Jeunet Gary Dourdan Michael Wincott Action Horror Sci-Fi alien: resurrection,alien: resurrection English Action Horror Sci-Fi
Antoine Fuqua,Tate Donovan,Ned Beatty,English,USA,Action Crime Drama Mystery Thriller,shooter,Antoine Fuqua Tate Donovan Ned Beatty Action Crime Drama Mystery Thriller shooter,shooter English Action Crime Drama Mystery Thriller
Graham Annable,Isaac Hempstead Wright,Dee Bradley Baker,English,USA,Adventure Animation Comedy Family Fantasy,the boxtrolls,Graham Annable Isaac Hempstead Wright Dee Bradley Baker Adventure Animation Comedy Family Fantasy the boxtrolls,the boxtrolls English Adventure Animation Comedy Family Fantasy
Griffin Dunne,Goran Visnjic,Dianne Wiest,English,USA,Comedy Drama Fantasy Romance,practical magic,Griffin Dunne Goran Visnjic Dianne Wiest Comedy Drama Fantasy Romance practical magic,practical magic English Comedy Drama Fantasy Romance
Phil Lord,Morgan Freeman,Will Ferrell,English,Australia,Action Adventure Animation Comedy Family Fantasy,the lego movie,Phil Lord Morgan Freeman Will Ferrell Action Adventure Animation Comedy Family Fantasy the lego movie,the lego movie English Action Adventure Animation Comedy Family Fantasy
