director_name,actor_1_name,actor_2_name,language,country,genres,movie_title,combined,Combined1
Adam Robitel,Lin Shaye,Angus Sampson,English,USA,Horror Mystery Thriller,Insidious: The Last Key,Adam Robitel Lin Shaye Angus Sampson Horror Mystery Thriller Insidious: The Last Key,Insidious: The Last Key English Horror Mystery Thriller
Lauren Wolkstein,Alex Pettyfer,James Freedson-Jackson,English,USA,Thriller Drama,The Strange Ones,Lauren Wolkstein Alex Pettyfer James Freedson-Jackson Thriller Drama The Strange Ones,The Strange Ones English Thriller Drama
Simon West,Dominic Cooper,Austin Stowell,English,USA,Action Thriller,Stratton,Simon West Dominic Cooper Austin Stowell Action Thriller Stratton,Stratton English Action Thriller
Warwick Thornton,Bryan Brown,Sam Neill,English,USA,Drama History Western,Sweet Country,Warwick Thornton Bryan Brown Sam Neill Drama History Western Sweet Country,Sweet Country English Drama History Western
Jaume Collet-Serra,Liam Neeson,Vera Farmiga,English,USA,Action Thriller,The Commuter,Jaume Collet-Serra Liam Neeson Vera Farmiga Action Thriller The Commuter,The Commuter English Action Thriller
Babak Najafi,Taraji P. Henson,Billy Brown,English,USA,Thriller Action Crime,Proud Mary,Babak Najafi Taraji P. Henson Billy Brown Thriller Action Crime Proud Mary,Proud Mary English Thriller Action Crime
Brett Donowho,Bruce Willis,Cole Hauser,English,USA,Action,Acts of Violence,Brett Donowho Bruce Willis Cole Hauser Action Acts of Violence,Acts of Violence English Action
Trudie Styler,Alex Lawther,Abigail Breslin,English,USA,Comedy Drama,Freak Show,Trudie Styler Alex Lawther Abigail Breslin Comedy Drama Freak Show,Freak Show English Comedy Drama
Sam Hoffman,Jemaine Clement,Elliott Gould,English,USA,Comedy,Humor Me,Sam Hoffman Jemaine Clement Elliott Gould Comedy Humor Me,Humor Me English Comedy
Daniela Thomas,Adriano Carvalho,Luana Nastas,English,USA,Drama,Vazante,Daniela Thomas Adriano Carvalho Luana Nastas Drama Vazante,Vazante English Drama
Hiromasa Yonebayashi,Ruby Barnhill,Louis Ashbourne Serkis,English,USA,Fantasy Adventure Animation,Mary and the Witch's Flower,Hiromasa Yonebayashi Ruby Barnhill Louis Ashbourne Serkis Fantasy Adventure Animation Mary and the Witch's Flower,Mary and the Witch's Flower English Fantasy Adventure Animation
Nicolai Fuglsig,Chris Hemsworth,Michael Shannon,English,USA,War Drama Action History,12 Strong,Nicolai Fuglsig Chris Hemsworth Michael Shannon War Drama Action History 12 Strong,12 Strong English War Drama Action History
Christian Gudegast,Gerard Butler,50 Cent,English,USA,Action Thriller Crime,Den of Thieves,Christian Gudegast Gerard Butler 50 Cent Action Thriller Crime Den of Thieves,Den of Thieves English Action Thriller Crime
Bethany Ashton Wolf,Alex Roe,Jessica Rothe,English,USA,Romance Drama Music,Forever My Girl,Bethany Ashton Wolf Alex Roe Jessica Rothe Romance Drama Music Forever My Girl,Forever My Girl English Romance Drama Music
Wes Ball,Dylan O'Brien,Kaya Scodelario,English,USA,Science Fiction Action Adventure Thriller,Maze Runner: The Death Cure,Wes Ball Dylan O'Brien Kaya Scodelario Science Fiction Action Adventure Thriller Maze Runner: The Death Cure,Maze Runner: The Death Cure English Science Fiction Action Adventure Thriller
Ziad Doueiri,Adel Karam,Camille Salameh,English,USA,Comedy Crime,The Insult,Ziad Doueiri Adel Karam Camille Salameh Comedy Crime The Insult,The Insult English Comedy Crime
Ben Lewin,Dakota Fanning,Toni Collette,English,USA,Comedy Drama,Please Stand By,Ben Lewin Dakota Fanning Toni Collette Comedy Drama Please Stand By,Please Stand By English Comedy Drama
The Spierig Brothers,Helen Mirren,Jason Clarke,English,USA,Horror Thriller,Winchester,The Spierig Brothers Helen Mirren Jason Clarke Horror Thriller Winchester,Winchester English Horror Thriller
Sebastián Lelio,Daniela Vega,Francisco Reyes,English,USA,Drama,A Fantastic Woman,Sebastián Lelio Daniela Vega Francisco Reyes Drama A Fantastic Woman,A Fantastic Woman English Drama
Mario Van Peebles,Mario Van Peebles,William Fichtner,English,USA,Action Horror Thriller,Armed,Mario Van Peebles Mario Van Peebles William Fichtner Action Horror Thriller Armed,Armed English Action Horror Thriller
Julius Onah,Daniel Brühl,Elizabeth Debicki,English,USA,Horror Science Fiction Action Thriller,The Cloverfield Paradox,Julius Onah Daniel Brühl Elizabeth Debicki Horror Science Fiction Action Thriller The Cloverfield Paradox,The Cloverfield Paradox English Horror Science Fiction Action Thriller
Bryan Coyne,Brea Grant,Graham Skipper,English,USA,Horror,Bad Apples,Bryan Coyne Brea Grant Graham Skipper Horror Bad Apples,Bad Apples English Horror
Will Gluck,James Corden,Domhnall Gleeson,English,USA,Family Comedy Adventure Animation Fantasy,Peter Rabbit,Will Gluck James Corden Domhnall Gleeson Family Comedy Adventure Animation Fantasy Peter Rabbit,Peter Rabbit English Family Comedy Adventure Animation Fantasy
James Foley,Dakota Johnson,Jamie Dornan,English,USA,Drama Romance,Fifty Shades Freed,James Foley Dakota Johnson Jamie Dornan Drama Romance Fifty Shades Freed,Fifty Shades Freed English Drama Romance
Clint Eastwood,Anthony Sadler,Alek Skarlatos,English,USA,Thriller History Drama,The 15:17 to Paris,Clint Eastwood Anthony Sadler Alek Skarlatos Thriller History Drama The 15:17 to Paris,The 15:17 to Paris English Thriller History Drama
Brian Crano,Rebecca Hall,Dan Stevens,English,USA,Comedy Romance Drama,Permission,Brian Crano Rebecca Hall Dan Stevens Comedy Romance Drama Permission,Permission English Comedy Romance Drama
Holger Tappe,Emily Watson,Jason Isaacs,English,USA,Animation Family,Monster Family,Holger Tappe Emily Watson Jason Isaacs Animation Family Monster Family,Monster Family English Animation Family
Alex Ross Perry,Emily Browning,Adam Horowitz,English,USA,Drama,Golden Exits,Alex Ross Perry Emily Browning Adam Horowitz Drama Golden Exits,Golden Exits English Drama
Nick Park,Eddie Redmayne,Tom Hiddleston,English,USA,Family Comedy Animation Adventure,Early Man,Nick Park Eddie Redmayne Tom Hiddleston Family Comedy Animation Adventure Early Man,Early Man English Family Comedy Animation Adventure
Andrey Zvyagintsev,Maryana Spivak,Alexei Rozin,English,USA,Drama,Loveless,Andrey Zvyagintsev Maryana Spivak Alexei Rozin Drama Loveless,Loveless English Drama
Sally Potter,Timothy Spall,Kristin Scott Thomas,English,USA,Fantasy Comedy Drama,The Party,Sally Potter Timothy Spall Kristin Scott Thomas Fantasy Comedy Drama The Party,The Party English Fantasy Comedy Drama
Mark Pellington,Jon Hamm,Nick Offerman,English,USA,Drama,Nostalgia,Mark Pellington Jon Hamm Nick Offerman Drama Nostalgia,Nostalgia English Drama
Lance Daly,Hugo Weaving,Jim Broadbent,English,USA,Drama Western,Black '47,Lance Daly Hugo Weaving Jim Broadbent Drama Western Black '47,Black '47 English Drama Western
Bruce Macdonald,Taylor James,Jackson Rathbone,English,USA,Action Drama Adventure,Samson,Bruce Macdonald Taylor James Jackson Rathbone Action Drama Adventure Samson,Samson English Action Drama Adventure
"Jonathan Goldstein, John Francis Daley",Jason Bateman,Rachel McAdams,English,USA,Mystery Comedy Crime,Game Night,"Jonathan Goldstein, John Francis Daley Jason Bateman Rachel McAdams Mystery Comedy Crime Game Night",Game Night English Mystery Comedy Crime
Alex Garland,Natalie Portman,Jennifer Jason Leigh,English,USA,Science Fiction Horror,Annihilation,Alex Garland Natalie Portman Jennifer Jason Leigh Science Fiction Horror Annihilation,Annihilation English Science Fiction Horror
Michael Sucsy,Angourie Rice,Maria Bello,English,USA,Fantasy Romance,Every Day,Michael Sucsy Angourie Rice Maria Bello Fantasy Romance Every Day,Every Day English Fantasy Romance
Brian O'Malley,Charlotte Vega,Bill Milner,English,USA,Drama Horror Romance Thriller,The Lodgers,Brian O'Malley Charlotte Vega Bill Milner Drama Horror Romance Thriller The Lodgers,The Lodgers English Drama Horror Romance Thriller
Francis Lawrence,Jennifer Lawrence,Joel Edgerton,English,USA,Mystery Thriller,Red Sparrow,Francis Lawrence Jennifer Lawrence Joel Edgerton Mystery Thriller Red Sparrow,Red Sparrow English Mystery Thriller
Eli Roth,Bruce Willis,Vincent D'Onofrio,English,USA,Action Crime Drama Thriller,Death Wish,Eli Roth Bruce Willis Vincent D'Onofrio Action Crime Drama Thriller Death Wish,Death Wish English Action Crime Drama Thriller
Shawn Christensen,Logan Lerman,Elle Fanning,English,USA,Mystery Drama,The Vanishing of Sidney Hall,Shawn Christensen Logan Lerman Elle Fanning Mystery Drama The Vanishing of Sidney Hall,The Vanishing of Sidney Hall English Mystery Drama
Samuel Maoz,Lior Ashkenazi,Sarah Adler,English,USA,Action Science Fiction Drama,Foxtrot,Samuel Maoz Lior Ashkenazi Sarah Adler Action Science Fiction Drama Foxtrot,Foxtrot English Action Science Fiction Drama
Usher Morgan,Elyse Price,Joel Bernard,English,USA,Thriller Action Crime Drama Mystery,Pickings,Usher Morgan Elyse Price Joel Bernard Thriller Action Crime Drama Mystery Pickings,Pickings English Thriller Action Crime Drama Mystery
Ava DuVernay,Storm Reid,Oprah Winfrey,English,USA,Adventure Science Fiction Family Fantasy,A Wrinkle in Time,Ava DuVernay Storm Reid Oprah Winfrey Adventure Science Fiction Family Fantasy A Wrinkle in Time,A Wrinkle in Time English Adventure Science Fiction Family Fantasy
Nash Edgerton,David Oyelowo,Charlize Theron,English,USA,Action Thriller Crime Drama,Gringo,Nash Edgerton David Oyelowo Charlize Theron Action Thriller Crime Drama Gringo,Gringo English Action Thriller Crime Drama
Cory Finley,Olivia Cooke,Anya Taylor-Joy,English,USA,Drama Thriller,Thoroughbreds,Cory Finley Olivia Cooke Anya Taylor-Joy Drama Thriller Thoroughbreds,Thoroughbreds English Drama Thriller
Armando Iannucci,Steve Buscemi,Simon Russell Beale,English,USA,Comedy Drama History,The Death of Stalin,Armando Iannucci Steve Buscemi Simon Russell Beale Comedy Drama History The Death of Stalin,The Death of Stalin English Comedy Drama History
Paolo Virzì,Donald Sutherland,Helen Mirren,English,USA,Drama Romance Adventure,The Leisure Seeker,Paolo Virzì Donald Sutherland Helen Mirren Drama Romance Adventure The Leisure Seeker,The Leisure Seeker English Drama Romance Adventure
Johannes Roberts,Christina Hendricks,Martin Henderson,English,USA,Horror Thriller,The Strangers: Prey at Night,Johannes Roberts Christina Hendricks Martin Henderson Horror Thriller The Strangers: Prey at Night,The Strangers: Prey at Night English Horror Thriller
Rob Cohen,Toby Kebbell,Maggie Grace,English,USA,Action Crime Thriller,The Hurricane Heist,Rob Cohen Toby Kebbell Maggie Grace Action Crime Thriller The Hurricane Heist,The Hurricane Heist English Action Crime Thriller
Roar Uthaug,Alicia Vikander,Dominic West,English,USA,Action Adventure Fantasy,Tomb Raider,Roar Uthaug Alicia Vikander Dominic West Action Adventure Fantasy Tomb Raider,Tomb Raider English Action Adventure Fantasy
Greg Berlanti,Nick Robinson,Katherine Langford,English,USA,Comedy Drama Romance,"Love, Simon","Greg Berlanti Nick Robinson Katherine Langford Comedy Drama Romance Love, Simon","Love, Simon English Comedy Drama Romance"
Jon Erwin,Cloris Leachman,Dennis Quaid,English,USA,Music Drama,I Can Only Imagine,Jon Erwin Cloris Leachman Dennis Quaid Music Drama I Can Only Imagine,I Can Only Imagine English Music Drama
José Padilha,Rosamund Pike,Daniel Brühl,English,USA,Thriller Drama Crime,7 Days in Entebbe,José Padilha Rosamund Pike Daniel Brühl Thriller Drama Crime 7 Days in Entebbe,7 Days in Entebbe English Thriller Drama Crime
Laurie Collyer,Melissa Leo,Tessa Thompson,English,USA,Comedy,Furlough,Laurie Collyer Melissa Leo Tessa Thompson Comedy Furlough,Furlough English Comedy
Steven S. DeKnight,John Boyega,Scott Eastwood,English,USA,Action Fantasy Science Fiction Adventure,Pacific Rim: Uprising,Steven S. DeKnight John Boyega Scott Eastwood Action Fantasy Science Fiction Adventure Pacific Rim: Uprising,Pacific Rim: Uprising English Action Fantasy Science Fiction Adventure
Wes Anderson,Bryan Cranston,Edward Norton,English,USA,Adventure Comedy Animation,Isle of Dogs,Wes Anderson Bryan Cranston Edward Norton Adventure Comedy Animation Isle of Dogs,Isle of Dogs English Adventure Comedy Animation
John Stevenson,James McAvoy,Emily Blunt,English,USA,Animation Family Fantasy Comedy Adventure Mystery,Sherlock Gnomes,John Stevenson James McAvoy Emily Blunt Animation Family Fantasy Comedy Adventure Mystery Sherlock Gnomes,Sherlock Gnomes English Animation Family Fantasy Comedy Adventure Mystery
Steven Soderbergh,Claire Foy,Joshua Leonard,English,USA,Horror Thriller,Unsane,Steven Soderbergh Claire Foy Joshua Leonard Horror Thriller Unsane,Unsane English Horror Thriller
Andrew Hyatt,James Faulkner,Jim Caviezel,English,USA,Drama History,"Paul, Apostle of Christ","Andrew Hyatt James Faulkner Jim Caviezel Drama History Paul, Apostle of Christ","Paul, Apostle of Christ English Drama History"
Stanley Tucci,Geoffrey Rush,Armie Hammer,English,USA,Drama History,Final Portrait,Stanley Tucci Geoffrey Rush Armie Hammer Drama History Final Portrait,Final Portrait English Drama History
Scott Speer,Bella Thorne,Patrick Schwarzenegger,English,USA,Romance Drama,Midnight Sun,Scott Speer Bella Thorne Patrick Schwarzenegger Romance Drama Midnight Sun,Midnight Sun English Romance Drama
Ryan Justice,Amanda Delaney,Justin Maina,English,USA,Thriller,Followers,Ryan Justice Amanda Delaney Justin Maina Thriller Followers,Followers English Thriller
Steven Spielberg,Tye Sheridan,Olivia Cooke,English,USA,Science Fiction Adventure Action,Ready Player One,Steven Spielberg Tye Sheridan Olivia Cooke Science Fiction Adventure Action Ready Player One,Ready Player One English Science Fiction Adventure Action
Tyler Perry,Taraji P. Henson,Lyriq Bent,English,USA,Thriller,Tyler Perry's Acrimony,Tyler Perry Taraji P. Henson Lyriq Bent Thriller Tyler Perry's Acrimony,Tyler Perry's Acrimony English Thriller
Michael Mason,David A. R. White,John Corbett,English,USA,Drama,God's Not Dead: A Light in Darkness,Michael Mason David A. R. White John Corbett Drama God's Not Dead: A Light in Darkness,God's Not Dead: A Light in Darkness English Drama
Aaron Katz,Lola Kirke,Zoë Kravitz,English,USA,Science Fiction Action Thriller,Gemini,Aaron Katz Lola Kirke Zoë Kravitz Science Fiction Action Thriller Gemini,Gemini English Science Fiction Action Thriller
Adam Rifkin,Burt Reynolds,Ariel Winter,English,USA,Drama,The Last Movie Star,Adam Rifkin Burt Reynolds Ariel Winter Drama The Last Movie Star,The Last Movie Star English Drama
John Krasinski,John Krasinski,Emily Blunt,English,USA,Science Fiction Thriller Horror,A Quiet Place,John Krasinski John Krasinski Emily Blunt Science Fiction Thriller Horror A Quiet Place,A Quiet Place English Science Fiction Thriller Horror
Kay Cannon,Leslie Mann,Ike Barinholtz,English,USA,Comedy,Blockers,Kay Cannon Leslie Mann Ike Barinholtz Comedy Blockers,Blockers English Comedy
Lynne Ramsay,Joaquin Phoenix,Ekaterina Samsonov,English,USA,Thriller Drama Crime,You Were Never Really Here,Lynne Ramsay Joaquin Phoenix Ekaterina Samsonov Thriller Drama Crime You Were Never Really Here,You Were Never Really Here English Thriller Drama Crime
John Curran,Jason Clarke,Kate Mara,English,USA,History Drama Thriller,Chappaquiddick,John Curran Jason Clarke Kate Mara History Drama Thriller Chappaquiddick,Chappaquiddick English History Drama Thriller
Andrew Haigh,Charlie Plummer,Chloë Sevigny,English,USA,Drama Adventure,Lean on Pete,Andrew Haigh Charlie Plummer Chloë Sevigny Drama Adventure Lean on Pete,Lean on Pete English Drama Adventure
Sean McNamara,Helen Hunt,William Hurt,English,USA,Drama,The Miracle Season,Sean McNamara Helen Hunt William Hurt Drama The Miracle Season,The Miracle Season English Drama
Brad Anderson,Jon Hamm,Rosamund Pike,English,USA,Action Thriller Drama,Beirut,Brad Anderson Jon Hamm Rosamund Pike Action Thriller Drama Beirut,Beirut English Action Thriller Drama
Brad Peyton,Dwayne Johnson,Naomie Harris,English,USA,Action,Rampage,Brad Peyton Dwayne Johnson Naomie Harris Action Rampage,Rampage English Action
Jeff Wadlow,Lucy Hale,Tyler Posey,English,USA,Thriller Horror,Truth or Dare,Jeff Wadlow Lucy Hale Tyler Posey Thriller Horror Truth or Dare,Truth or Dare English Thriller Horror
Richard Lanni,Logan Lerman,Helena Bonham Carter,English,USA,Animation Adventure Family History War,Sgt. Stubby: An American Hero,Richard Lanni Logan Lerman Helena Bonham Carter Animation Adventure Family History War Sgt. Stubby: An American Hero,Sgt. Stubby: An American Hero English Animation Adventure Family History War
"Abby Kohn, Marc Silverstein",Amy Schumer,Marc Silverstein (director/screenplay); Amy Schumer,English,USA,Comedy Romance,I Feel Pretty,"Abby Kohn, Marc Silverstein Amy Schumer Marc Silverstein (director/screenplay); Amy Schumer Comedy Romance I Feel Pretty",I Feel Pretty English Comedy Romance
Jay Chandrasekhar,Jay Chandrasekhar,Paul Soter,English,USA,Comedy Crime Mystery,Super Troopers 2,Jay Chandrasekhar Jay Chandrasekhar Paul Soter Comedy Crime Mystery Super Troopers 2,Super Troopers 2 English Comedy Crime Mystery
Deon Taylor,Paula Patton,Omar Epps,English,USA,Horror Thriller,Traffik,Deon Taylor Paula Patton Omar Epps Horror Thriller Traffik,Traffik English Horror Thriller
Peter Livolsi,Asa Butterfield,Nick Offerman,English,USA,Drama Comedy,The House of Tomorrow,Peter Livolsi Asa Butterfield Nick Offerman Drama Comedy The House of Tomorrow,The House of Tomorrow English Drama Comedy
Naoko Yamada,Atsumi Tanezaki,Nao Tōyama,English,USA,Animation Drama Music,Liz and the Blue Bird,Naoko Yamada Atsumi Tanezaki Nao Tōyama Animation Drama Music Liz and the Blue Bird,Liz and the Blue Bird English Animation Drama Music
Anthony Russo and Joe Russo,Robert Downey Jr.,Chris Hemsworth,English,USA,Adventure Action Science Fiction,Avengers: Infinity War,Anthony Russo and Joe Russo Robert Downey Jr. Chris Hemsworth Adventure Action Science Fiction Avengers: Infinity War,Avengers: Infinity War English Adventure Action Science Fiction
Sebastián Lelio,Rachel Weisz,Rachel McAdams,English,USA,Drama Romance,Disobedience,Sebastián Lelio Rachel Weisz Rachel McAdams Drama Romance Disobedience,Disobedience English Drama Romance
Per Fly,Ben Kingsley,Theo James,English,USA,Thriller Drama History,Backstabbing for Beginners,Per Fly Ben Kingsley Theo James Thriller Drama History Backstabbing for Beginners,Backstabbing for Beginners English Thriller Drama History
Deniz Gamze Ergüven,Halle Berry,Daniel Craig,English,USA,Adventure Drama Action,Kings,Deniz Gamze Ergüven Halle Berry Daniel Craig Adventure Drama Action Kings,Kings English Adventure Drama Action
Jason Reitman,Charlize Theron,Mackenzie Davis,English,USA,Comedy Drama,Tully,Jason Reitman Charlize Theron Mackenzie Davis Comedy Drama Tully,Tully English Comedy Drama
Dean Devlin,David Tennant,Robert Sheehan,English,USA,Thriller Crime Horror,Bad Samaritan,Dean Devlin David Tennant Robert Sheehan Thriller Crime Horror Bad Samaritan,Bad Samaritan English Thriller Crime Horror
Bobby Miller,Johnny Galecki,Anna Friel,English,USA,Drama Comedy Fantasy,The Cleanse,Bobby Miller Johnny Galecki Anna Friel Drama Comedy Fantasy The Cleanse,The Cleanse English Drama Comedy Fantasy
Ben Falcone,Melissa McCarthy,Maya Rudolph,English,USA,Comedy,Life of the Party,Ben Falcone Melissa McCarthy Maya Rudolph Comedy Life of the Party,Life of the Party English Comedy
James McTeigue,Gabrielle Union,Billy Burke,English,USA,Thriller Crime Action Horror,Breaking In,James McTeigue Gabrielle Union Billy Burke Thriller Crime Action Horror Breaking In,Breaking In English Thriller Crime Action Horror
Michael Mayer,Saoirse Ronan,Annette Bening,English,USA,Drama Romance Comedy,The Seagull,Michael Mayer Saoirse Ronan Annette Bening Drama Romance Comedy The Seagull,The Seagull English Drama Romance Comedy
Vaughn Stein,Margot Robbie,Simon Pegg,English,USA,Comedy Drama,Terminal,Vaughn Stein Margot Robbie Simon Pegg Comedy Drama Terminal,Terminal English Comedy Drama
Coralie Fargeat,Matilda Lutz,Kevin Janssens,English,USA,Action Thriller Horror,Revenge,Coralie Fargeat Matilda Lutz Kevin Janssens Action Thriller Horror Revenge,Revenge English Action Thriller Horror
David Leitch,Ryan Reynolds,Josh Brolin,English,USA,Action Comedy Adventure,Deadpool 2,David Leitch Ryan Reynolds Josh Brolin Action Comedy Adventure Deadpool 2,Deadpool 2 English Action Comedy Adventure
Bill Holderman,Jane Fonda,Candice Bergen,English,USA,Comedy Romance Drama,Book Club,Bill Holderman Jane Fonda Candice Bergen Comedy Romance Drama Book Club,Book Club English Comedy Romance Drama
Paul Schrader,Ethan Hawke,Amanda Seyfried,English,USA,Drama,First Reformed,Paul Schrader Ethan Hawke Amanda Seyfried Drama First Reformed,First Reformed English Drama
Raja Gosnell,Will Arnett,Natasha Lyonne,English,USA,Adventure Crime Family Comedy,Show Dogs,Raja Gosnell Will Arnett Natasha Lyonne Adventure Crime Family Comedy Show Dogs,Show Dogs English Adventure Crime Family Comedy
Ron Howard,Alden Ehrenreich,Woody Harrelson,English,USA,Science Fiction Adventure Action,Solo: A Star Wars Story,Ron Howard Alden Ehrenreich Woody Harrelson Science Fiction Adventure Action Solo: A Star Wars Story,Solo: A Star Wars Story English Science Fiction Adventure Action
John Cameron Mitchell,Elle Fanning,Alex Sharp,English,USA,Comedy Music Romance Science Fiction,How to Talk to Girls at Parties,John Cameron Mitchell Elle Fanning Alex Sharp Comedy Music Romance Science Fiction How to Talk to Girls at Parties,How to Talk to Girls at Parties English Comedy Music Romance Science Fiction
Anthony Byrne,Natalie Dormer,Emily Ratajkowski,English,USA,Drama,In Darkness,Anthony Byrne Natalie Dormer Emily Ratajkowski Drama In Darkness,In Darkness English Drama
Bruce LaBruce,Susanne Sachße,Viva Ruiz,English,USA,Drama,The Misandrists,Bruce LaBruce Susanne Sachße Viva Ruiz Drama The Misandrists,The Misandrists English Drama
"James Franco, Bruce Thierry Cheung",James Franco,Suki Waterhouse,English,USA,Science Fiction,Future World,"James Franco, Bruce Thierry Cheung James Franco Suki Waterhouse Science Fiction Future World",Future World English Science Fiction
Tim Kirkby,Johnny Knoxville,Chris Pontius,English,USA,Comedy Drama,Action Point,Tim Kirkby Johnny Knoxville Chris Pontius Comedy Drama Action Point,Action Point English Comedy Drama
Baltasar Kormákur,Shailene Woodley,Sam Claflin,English,USA,Thriller Romance Adventure,Adrift,Baltasar Kormákur Shailene Woodley Sam Claflin Thriller Romance Adventure Adrift,Adrift English Thriller Romance Adventure
Leigh Whannell,Logan Marshall-Green,Betty Gabriel,English,USA,Action Thriller Science Fiction,Upgrade,Leigh Whannell Logan Marshall-Green Betty Gabriel Action Thriller Science Fiction Upgrade,Upgrade English Action Thriller Science Fiction
Bart Layton,Evan Peters,Barry Keoghan,English,USA,Drama Crime Documentary,American Animals,Bart Layton Evan Peters Barry Keoghan Drama Crime Documentary American Animals,American Animals English Drama Crime Documentary
Theresa Bennett,Noël Wells,Josh Radnor,English,USA,Comedy Romance,Social Animals,Theresa Bennett Noël Wells Josh Radnor Comedy Romance Social Animals,Social Animals English Comedy Romance
Gary Ross,Sandra Bullock,Cate Blanchett,English,USA,Crime Comedy Action,Ocean's 8,Gary Ross Sandra Bullock Cate Blanchett Crime Comedy Action Ocean's 8,Ocean's 8 English Crime Comedy Action
Ari Aster,Toni Collette,Alex Wolff,English,USA,Horror Mystery Thriller,Hereditary,Ari Aster Toni Collette Alex Wolff Horror Mystery Thriller Hereditary,Hereditary English Horror Mystery Thriller
Drew Pearce,Jodie Foster,Sterling K. Brown,English,USA,Thriller Science Fiction Action,Hotel Artemis,Drew Pearce Jodie Foster Sterling K. Brown Thriller Science Fiction Action Hotel Artemis,Hotel Artemis English Thriller Science Fiction Action
Director X,Trevor Jackson,Jason Mitchell,English,USA,Action Crime,Superfly,Director X Trevor Jackson Jason Mitchell Action Crime Superfly,Superfly English Action Crime
Brad Bird,Craig T. Nelson,Holly Hunter,English,USA,Action Adventure Animation Family,Incredibles 2,Brad Bird Craig T. Nelson Holly Hunter Action Adventure Animation Family Incredibles 2,Incredibles 2 English Action Adventure Animation Family
Jeff Tomsic,Ed Helms,Jeremy Renner,English,USA,Comedy Action,Tag,Jeff Tomsic Ed Helms Jeremy Renner Comedy Action Tag,Tag English Comedy Action
Dominic Cooke,Saoirse Ronan,Billy Howle,English,USA,Drama Romance,On Chesil Beach,Dominic Cooke Saoirse Ronan Billy Howle Drama Romance On Chesil Beach,On Chesil Beach English Drama Romance
Kevin Connolly,John Travolta,Kelly Preston,English,USA,Crime Drama History Thriller,Gotti,Kevin Connolly John Travolta Kelly Preston Crime Drama History Thriller Gotti,Gotti English Crime Drama History Thriller
J.A. Bayona,Chris Pratt,Bryce Dallas Howard,English,USA,Action Adventure Science Fiction,Jurassic World: Fallen Kingdom,J.A. Bayona Chris Pratt Bryce Dallas Howard Action Adventure Science Fiction Jurassic World: Fallen Kingdom,Jurassic World: Fallen Kingdom English Action Adventure Science Fiction
Shana Feste,Vera Farmiga,Christopher Plummer,English,USA,Comedy Drama,Boundaries,Shana Feste Vera Farmiga Christopher Plummer Comedy Drama Boundaries,Boundaries English Comedy Drama
Mike P. Nelson,Tyler Hoechlin,Kate Bosworth,English,USA,Thriller Horror,The Domestics,Mike P. Nelson Tyler Hoechlin Kate Bosworth Thriller Horror The Domestics,The Domestics English Thriller Horror
Stefano Sollima,Benicio del Toro,Josh Brolin,English,USA,Action Crime Drama Thriller,Sicario: Day of the Soldado,Stefano Sollima Benicio del Toro Josh Brolin Action Crime Drama Thriller Sicario: Day of the Soldado,Sicario: Day of the Soldado English Action Crime Drama Thriller
Debra Granik,Ben Foster,Thomasin McKenzie,English,USA,Drama,Leave No Trace,Debra Granik Ben Foster Thomasin McKenzie Drama Leave No Trace,Leave No Trace English Drama
Charles Stone III,Kyrie Irving,Lil Rel Howery,English,USA,Comedy,Uncle Drew,Charles Stone III Kyrie Irving Lil Rel Howery Comedy Uncle Drew,Uncle Drew English Comedy
Susanna White,Jessica Chastain,Michael Greyeyes,English,USA,Drama History Western,Woman Walks Ahead,Susanna White Jessica Chastain Michael Greyeyes Drama History Western Woman Walks Ahead,Woman Walks Ahead English Drama History Western
Gerard McMurray,Y'lan Noel,Lex Scott Davis,English,USA,Horror Action Thriller,The First Purge,Gerard McMurray Y'lan Noel Lex Scott Davis Horror Action Thriller The First Purge,The First Purge English Horror Action Thriller
Peyton Reed,Paul Rudd,Evangeline Lilly,English,USA,Action Adventure Science Fiction,Ant-Man and the Wasp,Peyton Reed Paul Rudd Evangeline Lilly Action Adventure Science Fiction Ant-Man and the Wasp,Ant-Man and the Wasp English Action Adventure Science Fiction
Boots Riley,Lakeith Stanfield,Tessa Thompson,English,USA,Fantasy Science Fiction Comedy,Sorry to Bother You,Boots Riley Lakeith Stanfield Tessa Thompson Fantasy Science Fiction Comedy Sorry to Bother You,Sorry to Bother You English Fantasy Science Fiction Comedy
Genndy Tartakovsky,Adam Sandler,Andy Samberg,English,USA,Family Fantasy Comedy Animation,Hotel Transylvania 3: Summer Vacation,Genndy Tartakovsky Adam Sandler Andy Samberg Family Fantasy Comedy Animation Hotel Transylvania 3: Summer Vacation,Hotel Transylvania 3: Summer Vacation English Family Fantasy Comedy Animation
Rawson Marshall Thurber,Dwayne Johnson,Neve Campbell,English,USA,Action Thriller,Skyscraper,Rawson Marshall Thurber Dwayne Johnson Neve Campbell Action Thriller Skyscraper,Skyscraper English Action Thriller
Bo Burnham,Elsie Fisher,Josh Hamilton,English,USA,Comedy Drama,Eighth Grade,Bo Burnham Elsie Fisher Josh Hamilton Comedy Drama Eighth Grade,Eighth Grade English Comedy Drama
Gus Van Sant,Joaquin Phoenix,Rooney Mara,English,USA,Comedy Drama,"Don't Worry, He Won't Get Far on Foot","Gus Van Sant Joaquin Phoenix Rooney Mara Comedy Drama Don't Worry, He Won't Get Far on Foot","Don't Worry, He Won't Get Far on Foot English Comedy Drama"
